Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL,Directory,Gender,Twitter,Email
Lagan Valley,6,11537,Dan,Barrios-O'Neill,,111,Green Party,,lagan-valley,male,DBarriosONeill,
Lagan Valley,6,8114,Robbie,Butler,1,26,Ulster Unionist Party,,lagan-valley,Male,t3robbie,robbie.butler@mla.niassembly.gov.uk
Lagan Valley,6,7180,Pat,Catney,,23,Social Democratic and Labour Party,,lagan-valley,male,PatCatney,
Lagan Valley,6,19716,Peter,Doran,,24,Sinn Fein,,lagan-valley,Male,LaganValleySF,
Lagan Valley,6,11540,Paul,Givan,1,20,Democratic Unionist Party,,lagan-valley,male,paulgivan,
Lagan Valley,6,19747,Keith John,Gray,,21,Independent,,lagan-valley,Male,liver30,
Lagan Valley,6,11541,Brenda,Hale,1,20,Democratic Unionist Party,,lagan-valley,female,brendahalemla,
Lagan Valley,6,763,Trevor,Lunn,1,19,Alliance Party,,lagan-valley,male,TrevorLunnLV,trevor.lunn@allianceparty.org
Lagan Valley,6,297,Samuel,Morrison,,141,Traditional Unionist Voice,,lagan-valley,Male,SammyMorrison82,
Lagan Valley,6,7410,Jonny,Orr,,21,Independent,,lagan-valley,male,JonnyOrr,
Lagan Valley,6,8113,Jenny,Palmer,1,26,Ulster Unionist Party,,lagan-valley,Female,JennyP_59,jenny.palmer@mla.niassembly.gov.uk
Lagan Valley,6,11544,Edwin,Poots,1,20,Democratic Unionist Party,,lagan-valley,male,poots_edwin,
Lagan Valley,6,19723,Matthew,Robinson,,991,NI Conservatives,,lagan-valley,Male,,
