Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
1,67,1,Roy,BEGGS,3848,0,3848,,,Ulster Unionist Party
1,68,1,Stewart Clyde,DICKSON,3115,0,3115,,,Alliance Party
1,69,1,Danny,DONNELLY,1632,0,1632,,,Alliance Party
1,70,1,David,HILDITCH,5906,0,5906,Elected,1,Democratic Unionist Party
1,71,1,Noel,JORDAN,2207,0,2207,,,UK Independence Party
1,72,1,Gordon,LYONS,3472,0,3472,,,Democratic Unionist Party
1,73,1,Jim,MCCAW,455,0,455,,,Progressive Unionist Party
1,74,1,Margaret Anne,MCKILLOP,1229,0,1229,,,Social Democratic and Labour Party
1,75,1,Oliver,MCMULLAN,2633,0,2633,,,Sinn Fein
1,76,1,Maureen,MORROW,719,0,719,,,Ulster Unionist Party
1,77,1,Dawn,PATTERSON,693,0,693,,,Green Party
1,78,1,Alastair,ROSS,2323,0,2323,,,Democratic Unionist Party
1,79,1,Conor John,SHERIDAN,551,0,551,,,Cross-Community Labour Alternative
1,80,1,John Robert,STEWART,1985,0,1985,,,Ulster Unionist Party
1,81,1,Ruth,WILSON,1643,0,1643,,,Traditional Unionist Voice
1,67,2,Roy,BEGGS,3848,87.78,3935.78,,,Ulster Unionist Party
1,68,2,Stewart Clyde,DICKSON,3115,11.34,3126.34,,,Alliance Party
1,69,2,Danny,DONNELLY,1632,2.31,1634.31,,,Alliance Party
1,70,2,David,HILDITCH,5906,-1275,4631,Elected,1,Democratic Unionist Party
1,71,2,Noel,JORDAN,2207,42.63,2249.63,,,UK Independence Party
1,72,2,Gordon,LYONS,3472,851.76,4323.76,,,Democratic Unionist Party
1,73,2,Jim,MCCAW,455,8.19,463.19,Excluded,2,Progressive Unionist Party
1,74,2,Margaret Anne,MCKILLOP,1229,1.05,1230.05,,,Social Democratic and Labour Party
1,75,2,Oliver,MCMULLAN,2633,0.42,2633.42,,,Sinn Fein
1,76,2,Maureen,MORROW,719,5.46,724.46,,,Ulster Unionist Party
1,77,2,Dawn,PATTERSON,693,1.68,694.68,,,Green Party
1,78,2,Alastair,ROSS,2323,175.98,2498.98,,,Democratic Unionist Party
1,79,2,Conor John,SHERIDAN,551,0.42,551.42,,,Cross-Community Labour Alternative
