Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
8,156,1,Paul,BERRY ,1663,0,1663,,,Independent
8,157,1,Cathal Damian,BOYLAN,6822,0,6822,Elected,1,Sinn Fein
8,158,1,Emmet,CROSSAN,1032,0,1032,,,Cannabis Is Safer Than Alcohol
8,159,1,Megan,FEARON,6838,0,6838,Elected,1,Sinn Fein
8,160,1,William George,IRWIN,7980,0,7980,Elected,1,Democratic Unionist Party
8,161,1,Danny,KENNEDY,4904,0,4904,,,Ulster Unionist Party
8,162,1,Alan,LOVE,315,0,315,,,UK Independence Party
8,163,1,Martin,MCALLISTER,940,0,940,,,Independent
8,164,1,Karen,MCKEVITT,3923,0,3923,,,Social Democratic and Labour Party
8,165,1,Justin,MCNULTY,4775,0,4775,,,Social Democratic and Labour Party
8,166,1,Conor,MURPHY,5854,0,5854,,,Sinn Fein
8,167,1,Sam,NICHOLSON,1841,0,1841,,,Ulster Unionist Party
8,168,1,Michael,WATTERS,335,0,335,,,Green Party
8,169,1,Craig,WEIR,493,0,493,,,Alliance Party
8,156,2,Paul,BERRY ,1663,198.6,1861.6,,,Independent
8,157,2,Cathal Damian,BOYLAN,6822,0,6822,Elected,1,Sinn Fein
8,158,2,Emmet,CROSSAN,1032,4.5,1036.5,,,Cannabis Is Safer Than Alcohol
8,159,2,Megan,FEARON,6838,0,6838,Elected,1,Sinn Fein
8,160,2,William George,IRWIN,7980,-1163,6817,Elected,1,Democratic Unionist Party
8,161,2,Danny,KENNEDY,4904,698.25,5602.25,,,Ulster Unionist Party
8,162,2,Alan,LOVE,315,31.05,346.05,Excluded,2,UK Independence Party
8,163,2,Martin,MCALLISTER,940,1.2,941.2,,,Independent
8,164,2,Karen,MCKEVITT,3923,6.45,3929.45,,,Social Democratic and Labour Party
8,165,2,Justin,MCNULTY,4775,4.05,4779.05,,,Social Democratic and Labour Party
8,166,2,Conor,MURPHY,5854,1.05,5855.05,,,Sinn Fein
8,167,2,Sam,NICHOLSON,1841,204.75,2045.75,,,Ulster Unionist Party
8,168,2,Michael,WATTERS,335,2.4,337.4,Excluded,2,Green Party
8,169,2,Craig,WEIR,493,3.75,496.75,,,Alliance Party
8,156,3,Paul,BERRY ,1663,0,1861.6,,,Independent
