Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL,Directory,Gender
North Down,11,166,Steven,AGNEW,1,111,Green Party,,north-down,M
North Down,11,167,John,BRENNAN,0,141,Traditional Unionist Voice,,north-down,M
North Down,11,168,Conal,BROWNE,0,23,Social Democratic and Labour Party,,north-down,M
North Down,11,169,Alan,CHAMBERS,0,26,Ulster Unionist Party,,north-down,M
North Down,11,170,Gordon,DUNNE,1,20,Democratic Unionist Party,,north-down,M
North Down,11,171,Alex,EASTON,1,20,Democratic Unionist Party,,north-down,M
North Down,11,172,Chris,EISENSTADT,0,26,Ulster Unionist Party,,north-down,M
North Down,11,173,Stephen,FARRY,1,19,Alliance Party,,north-down,M
North Down,11,174,Carl,MCCLEAN,0,26,Ulster Unionist Party,,north-down,M
North Down,11,175,Andrew,MUIR,0,19,Alliance Party,,north-down,M
North Down,11,176,Bill,PIPER,0,689,UK Independence Party,,north-down,M
North Down,11,177,Frank,SHIVERS,0,991,NI Conservatives,,north-down,M
North Down,11,178,Peter,WEIR,1,20,Democratic Unionist Party,,north-down,M
North Down,11,179,Brian,WILSON,0,21,Independent,,north-down,M
