Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
2,8116,1,Andy,Allen,5275,0,5275,,,Ulster Unionist Party
2,19719,1,Sheila,Bodel,275,0,275,,,NI Conservatives
2,13032,1,Joanne,Bunting,6007,0,6007,,,Democratic Unionist Party
2,19687,1,David,Douglas,4431,0,4431,,,Democratic Unionist Party
2,19745,1,Séamas,de Faoite,250,0,250,,,Social Democratic and Labour Party
2,13035,1,Andrew,Girvin,917,0,917,,,Traditional Unionist Voice
2,13037,1,John,Kyle,2658,0,2658,,,Progressive Unionist Party
2,2454,1,Naomi,Long,7610,0,7610,Elected,1,Alliance Party
2,13038,1,Chris,Lyttle,5059,0,5059,,,Alliance Party
2,19746,1,Jordy,McKeag,84,0,84,,,Independent
2,19699,1,Georgina,Milne,1447,0,1447,,,Green Party
2,13040,1,Robin,Newton,4729,0,4729,,,Democratic Unionist Party
2,19680,1,Máiréad,O'Donnell,1173,0,1173,,,Sinn Fein
2,13041,1,Courtney,Robinson,442,0,442,,,Cross-Community Labour Alternative
